civic_district_plan_id,civic_district_plan_effective_year,civic_district_district_number,civic_district_district_type_code,civic_district_population_total_ideal,civic_district_population_deviation_pct,civic_district_voting_age_population,civic_district_citizen_vap,civic_district_minority_vap_share_pct,civic_district_compactness_polsby_popper,civic_district_compactness_reock,civic_district_contiguity_flag,civic_district_split_count_county,civic_district_split_count_tract,civic_district_incumbent_residence_flag,civic_district_communities_of_interest_index,civic_district_partisan_lean_metric,civic_district_election_competitiveness_score,civic_district_public_comment_count,civic_district_litigation_risk_flag
PLAN000001168,2002,23,CITY,67975,-0.963,49637,43032,90.76,0.3768,0.1958,1,1,72,1,0.3632,-6.08,76.55,8883,0
PLAN000001169,2015,2,CONGRESSIONAL,276704,-6.854,198200,174925,15.42,0.2254,0.4806,1,15,74,1,0.3992,6.821,69.67,14938,0
PLAN000001170,2003,32,SCHOOL,693573,-6.264,537611,499223,50.13,0.6766,0.3797,1,2,70,0,0.8284,-10.328,91.44,8972,0
PLAN000001171,2017,56,SCHOOL,659678,-1.704,456671,411555,2.77,0.0474,0.6561,1,2,29,1,0.4965,6.704,75.8,18954,1
PLAN000001172,1993,58,STATE_SENATE,943344,2.941,699615,659984,13.62,0.1002,0.6006,1,9,65,1,0.0139,19.469,93.54,3898,0
PLAN000001173,1993,22,SCHOOL,559525,2.263,398916,342877,29.21,0.1333,0.0439,1,20,36,0,0.2375,-25.65,61.13,22279,0
PLAN000001174,1997,35,STATE_HOUSE,209540,-2.216,167582,143125,87.04,0.691,0.767,1,14,13,0,0.6477,15.137,33.94,12823,0
PLAN000001175,2001,22,JUDICIAL,510724,2.141,405669,339533,53.79,0.7878,0.8153,1,4,10,0,0.0342,-32.886,46.39,1945,1
PLAN000001176,1990,39,JUDICIAL,58846,5.876,43872,37204,3.51,0.6833,0.2348,1,8,11,0,0.1715,-35.008,99.69,4060,1
PLAN000001177,2018,54,STATE_SENATE,23176,-1.814,17598,16057,35.52,0.1133,0.7693,1,11,60,0,0.1767,-37.392,89.24,5448,0
PLAN000001178,2013,29,STATE_SENATE,181716,4.672,131999,114668,80.46,0.5621,0.7024,1,19,23,0,0.691,21.757,1.99,4979,0
PLAN000001179,2005,13,STATE_HOUSE,342913,4.99,259172,243959,21.87,0.2618,0.3647,1,12,0,1,0.0391,23.349,80.94,14118,0
PLAN000001180,2010,15,STATE_HOUSE,27075,6.666,19092,16309,4.26,0.7719,0.8064,1,13,61,0,0.0195,-38.041,2.65,4514,0
PLAN000001181,2000,26,CITY,557423,4.638,411470,393989,47.69,0.3767,0.2108,1,19,31,1,0.9085,19.653,21.84,21369,0
PLAN000001182,2012,40,JUDICIAL,423893,-0.115,322213,303869,15.76,0.3816,0.34,1,7,7,0,0.86,34.157,34.71,22138,0
PLAN000001183,2024,42,JUDICIAL,782475,4.095,611752,555475,2.51,0.592,0.2564,1,15,51,0,0.52,19.652,37.47,15349,0
PLAN000001184,1999,55,JUDICIAL,514805,4.08,388791,369438,17.85,0.6189,0.5402,1,7,51,0,0.2381,36.681,43.25,24439,0
PLAN000001185,2002,54,STATE_HOUSE,453783,-7.549,355759,311346,81.08,0.367,0.615,1,9,27,0,0.0756,39.122,98.2,9809,0
PLAN000001186,2024,12,CONGRESSIONAL,246558,1.44,176281,165596,41.14,0.3442,0.1405,1,13,59,0,0.7529,-26.164,7.1,21390,0
PLAN000001187,1996,36,STATE_HOUSE,585727,-6.187,433764,374974,22.09,0.3967,0.4949,1,16,45,1,0.855,-24.328,27.08,6383,0
PLAN000001188,2020,38,STATE_SENATE,485313,-0.976,380251,335136,13.92,0.0342,0.5966,0,13,2,1,0.333,1.649,1.43,18681,0
PLAN000001189,2005,18,SCHOOL,671547,6.496,516272,416985,67.62,0.7266,0.3416,1,11,2,0,0.3931,32.656,84.14,6973,1
PLAN000001190,1998,50,CONGRESSIONAL,513494,-3.309,418745,395269,88.56,0.3586,0.487,1,7,20,0,0.0863,-21.213,48.07,23029,0
PLAN000001191,2022,55,CONGRESSIONAL,841783,5.481,682976,575750,89.26,0.4336,0.5218,1,11,65,0,0.8351,-10.259,7.93,15371,0
PLAN000001192,2007,27,STATE_HOUSE,914269,4.994,633498,511983,25.0,0.0879,0.635,1,19,22,0,0.2216,32.49,93.86,4933,0
PLAN000001193,2009,16,CITY,527376,-0.727,431065,337381,38.68,0.6483,0.1791,1,7,20,0,0.7293,22.767,14.55,1357,0
PLAN000001194,2014,33,STATE_HOUSE,859899,6.74,586960,513651,54.46,0.0999,0.7012,1,12,71,0,0.0705,36.125,2.19,10497,0
PLAN000001195,2014,39,STATE_SENATE,730799,2.713,563976,442159,27.45,0.3614,0.7802,1,4,39,0,0.139,-15.999,56.49,23496,0
PLAN000001196,2025,29,SCHOOL,89471,7.891,68863,60034,25.21,0.4664,0.111,1,20,25,0,0.1568,21.479,90.68,13819,0
PLAN000001197,2022,32,STATE_SENATE,868818,-7.062,694309,584698,71.91,0.0957,0.05,1,4,33,0,0.6267,6.363,77.66,268,1
PLAN000001198,2014,24,CITY,544846,-3.036,413246,381325,27.28,0.276,0.5997,1,11,4,0,0.6295,-2.273,78.61,11729,0
PLAN000001199,2004,60,SCHOOL,801425,-6.436,567757,466620,85.34,0.7039,0.3423,1,13,36,0,0.2559,8.792,41.75,3446,0
PLAN000001200,2006,6,CONGRESSIONAL,335691,-3.605,243375,191117,65.33,0.4208,0.4061,1,1,2,0,0.5426,20.611,65.26,6705,0
PLAN000001201,1995,52,CITY,261225,0.252,206199,171868,81.26,0.1011,0.2949,1,5,56,1,0.5457,-13.077,60.58,22708,1
PLAN000001202,2009,58,CONGRESSIONAL,365516,-3.767,261889,239514,28.3,0.1277,0.1173,1,6,67,0,0.0289,17.417,60.71,17413,0
PLAN000001203,1994,38,JUDICIAL,244637,-3.124,195784,186761,66.06,0.7476,0.2879,1,3,70,0,0.6396,-8.183,1.89,10402,0
PLAN000001204,2004,49,SCHOOL,103237,-4.524,77236,67834,59.38,0.355,0.1876,1,15,10,0,0.3303,-4.926,11.04,10209,0
PLAN000001205,2000,31,CITY,154874,-1.607,114623,100784,87.38,0.6688,0.5504,1,7,19,0,0.09,-4.698,77.57,24245,0
PLAN000001206,2007,25,CONGRESSIONAL,777254,7.964,537627,491196,92.45,0.3074,0.2398,1,4,8,0,0.5812,-11.451,54.6,16176,0
PLAN000001207,2007,5,SCHOOL,240252,-3.368,192501,152785,43.13,0.7694,0.7032,1,10,16,0,0.5499,16.965,53.87,1869,0
PLAN000001208,2023,60,STATE_SENATE,650433,7.819,506001,406913,6.42,0.5122,0.1748,1,12,1,1,0.9701,27.767,57.78,23149,0
PLAN000001209,1990,41,STATE_HOUSE,552360,4.92,432929,340368,72.7,0.1233,0.2074,1,4,28,1,0.6798,14.191,87.13,20815,0
PLAN000001210,2008,2,CONGRESSIONAL,537354,2.44,407633,368580,6.07,0.2343,0.4376,1,18,46,1,0.8876,25.739,86.99,2988,0
PLAN000001211,1997,41,SCHOOL,152226,4.971,110596,91336,76.26,0.2616,0.7062,1,5,4,0,0.093,24.677,5.12,3628,0
PLAN000001212,1995,31,STATE_HOUSE,599193,-7.78,442605,405918,79.28,0.1236,0.1263,0,13,13,0,0.4698,-29.156,30.59,14260,0
PLAN000001213,2022,26,JUDICIAL,466538,-3.67,380070,337724,90.39,0.5289,0.731,1,17,64,0,0.0312,-15.994,23.16,2219,0
PLAN000001214,2008,50,STATE_SENATE,899598,-4.164,715277,588672,93.86,0.365,0.4306,1,7,52,0,0.005,-29.716,62.62,9435,1
PLAN000001215,2023,5,JUDICIAL,14141,5.799,10580,8887,87.42,0.0472,0.816,1,1,78,1,0.3489,6.484,59.56,21073,0
PLAN000001216,2016,15,JUDICIAL,189805,-5.371,141112,120993,80.19,0.3281,0.6055,1,14,13,0,0.9324,15.258,50.91,3828,0
PLAN000001217,1997,5,CONGRESSIONAL,330867,3.194,256119,245031,53.21,0.7718,0.0656,1,9,69,1,0.7999,-4.946,69.13,17609,1
PLAN000001218,2021,52,STATE_HOUSE,439886,7.466,351814,300601,66.98,0.178,0.4088,1,7,24,0,0.586,-6.751,50.54,5826,0
PLAN000001219,2009,13,STATE_SENATE,728934,-1.521,495990,388225,60.02,0.5155,0.2058,1,16,53,1,0.7071,-26.144,22.54,1611,1
PLAN000001220,2001,58,JUDICIAL,471013,4.066,343895,323321,85.25,0.7778,0.6103,1,10,25,1,0.8577,13.618,67.72,11968,0
PLAN000001221,2024,31,CONGRESSIONAL,865037,-5.411,635284,591229,5.84,0.4084,0.6236,1,7,8,0,0.4236,30.582,15.26,4311,0
PLAN000001222,2007,41,CONGRESSIONAL,854305,1.284,585685,505852,7.09,0.625,0.6788,1,2,12,1,0.1207,39.875,65.73,18769,0
PLAN000001223,1991,17,CONGRESSIONAL,720765,-7.704,555238,453338,16.74,0.4801,0.7752,1,3,46,0,0.3221,25.986,83.3,5179,1
PLAN000001224,2016,31,JUDICIAL,199251,-1.398,138640,119549,49.73,0.6274,0.6594,1,13,63,0,0.449,16.75,16.73,21650,0
PLAN000001225,1999,15,STATE_HOUSE,140073,6.204,108256,95707,53.46,0.4211,0.6403,1,19,28,0,0.9732,-32.76,6.66,13966,0
PLAN000001226,2007,14,STATE_SENATE,702512,3.29,574836,514487,49.73,0.5131,0.137,0,4,79,1,0.022,18.575,38.52,16117,0
PLAN000001227,2012,9,CITY,938110,2.689,646984,515480,83.89,0.7826,0.7587,1,12,74,0,0.2979,39.35,15.08,19579,1
PLAN000001228,1990,13,CITY,232236,-5.157,178490,161317,58.47,0.2632,0.5699,1,7,78,1,0.468,-5.254,36.16,16201,1
PLAN000001229,2014,49,STATE_HOUSE,931467,0.047,749490,636972,20.15,0.0648,0.1287,1,15,20,0,0.8793,-32.919,22.61,18923,0
PLAN000001230,1996,49,CITY,94046,-2.189,64623,54110,81.35,0.5352,0.4643,1,0,80,0,0.7128,-1.999,32.75,920,0
PLAN000001231,2021,13,CITY,313618,4.532,219242,182514,92.44,0.7704,0.577,1,8,68,0,0.494,6.503,14.17,7354,0
PLAN000001232,2023,44,CONGRESSIONAL,683819,4.212,504450,409320,51.26,0.1897,0.2281,1,14,27,0,0.0852,-6.862,82.61,10357,0
PLAN000001233,2004,54,CONGRESSIONAL,363655,3.744,285752,266821,22.82,0.7629,0.1741,1,19,45,0,0.9035,10.6,25.83,18496,0
PLAN000001234,1995,14,CITY,530480,-5.129,391517,364869,30.99,0.4245,0.4439,1,20,80,0,0.799,-2.582,80.77,17013,0
PLAN000001235,2014,30,CONGRESSIONAL,280629,-3.524,202174,193917,44.25,0.0629,0.1334,1,9,17,0,0.1302,22.695,40.84,1760,0
PLAN000001236,2025,47,STATE_HOUSE,277186,0.244,203281,187915,81.43,0.7012,0.6298,1,20,11,0,0.7252,-11.128,7.99,4747,0
PLAN000001237,2015,55,STATE_SENATE,296909,2.433,218580,175502,62.62,0.3549,0.3294,1,4,20,0,0.7559,13.613,11.18,20725,0
PLAN000001238,1992,35,CONGRESSIONAL,530827,-5.89,431490,407725,66.72,0.5719,0.4505,1,1,72,0,0.7457,20.571,80.01,16298,0
PLAN000001239,1994,7,STATE_SENATE,269025,-7.697,207484,162571,17.01,0.4856,0.7663,1,17,73,0,0.7412,10.985,9.56,16016,0
PLAN000001240,1991,44,STATE_HOUSE,242384,-4.094,182362,149241,42.98,0.7562,0.549,1,4,23,1,0.1797,39.81,99.58,3029,0
PLAN000001241,1998,32,SCHOOL,423425,-6.696,331207,293476,46.22,0.1197,0.3064,0,0,9,0,0.4278,-36.292,16.48,9008,0
PLAN000001242,2022,52,CONGRESSIONAL,176968,2.399,133834,112697,13.63,0.6718,0.4111,1,2,17,1,0.1675,-3.667,83.12,302,1
PLAN000001243,2002,59,CONGRESSIONAL,549578,-0.039,382597,334636,91.59,0.4205,0.5042,1,6,62,0,0.3844,7.834,31.42,5408,0
PLAN000001244,2014,18,SCHOOL,717438,1.284,562371,445875,27.6,0.4127,0.3095,1,9,30,0,0.5247,-6.765,60.77,6585,0
PLAN000001245,2025,54,STATE_HOUSE,351308,4.979,246679,231272,23.52,0.1116,0.4612,1,17,19,1,0.6953,-20.027,33.23,12618,0
PLAN000001246,2007,30,SCHOOL,629247,-2.091,452726,378122,16.31,0.2744,0.8133,1,16,2,0,0.3731,-14.264,98.77,17221,0
PLAN000001247,2020,19,CONGRESSIONAL,41542,-4.242,30137,28013,81.9,0.7307,0.6437,1,18,10,1,0.9449,-11.394,71.74,15565,0
PLAN000001248,2023,44,SCHOOL,864557,-7.686,611290,521384,79.16,0.5146,0.5591,1,16,19,1,0.3759,16.914,11.09,6057,0
PLAN000001249,2021,44,STATE_SENATE,419193,2.68,316250,279593,10.91,0.2847,0.055,1,12,26,0,0.0271,-19.299,88.39,5375,1
PLAN000001250,2021,59,STATE_HOUSE,127948,-0.685,101646,96821,65.23,0.1588,0.1509,1,17,14,1,0.1953,-7.369,95.25,4824,0
PLAN000001251,1997,38,CONGRESSIONAL,834964,0.306,594625,463967,33.61,0.5989,0.6609,1,1,41,0,0.178,-5.665,25.42,2736,0
PLAN000001252,2013,55,STATE_HOUSE,651803,-3.088,450503,430759,88.95,0.4368,0.2252,1,0,63,0,0.9704,7.358,83.57,16646,0
PLAN000001253,1992,17,STATE_HOUSE,120077,-1.478,91333,78215,10.36,0.5086,0.5169,1,0,2,0,0.3361,24.394,45.14,13485,0
PLAN000001254,1996,44,CONGRESSIONAL,380582,-3.868,287856,275356,74.83,0.2271,0.2493,1,8,66,0,0.6766,35.127,63.1,10113,0
PLAN000001255,2019,40,STATE_SENATE,281602,3.565,193137,180316,38.64,0.4534,0.3979,1,9,40,1,0.49,-31.514,51.23,21747,0
PLAN000001256,2008,37,JUDICIAL,417362,6.299,292398,263102,86.68,0.3311,0.5107,1,8,32,0,0.2948,10.117,84.72,17554,0
PLAN000001257,2009,31,STATE_HOUSE,769372,4.448,591680,497007,70.96,0.6609,0.2695,1,3,73,0,0.3107,23.756,83.69,4559,1
PLAN000001258,2011,13,CONGRESSIONAL,935743,-2.011,655546,600629,73.03,0.4677,0.0758,1,9,31,0,0.1424,1.218,54.78,14199,1
PLAN000001259,2010,56,CONGRESSIONAL,495654,-0.18,372328,350229,14.45,0.2335,0.6509,1,15,59,1,0.694,35.294,62.92,18186,0
PLAN000001260,2006,57,STATE_HOUSE,351227,-3.291,286460,250403,2.28,0.7573,0.7303,1,15,25,0,0.8121,-6.081,82.61,13615,0
PLAN000001261,1995,1,SCHOOL,590155,0.067,453401,365535,3.44,0.365,0.2475,1,1,67,0,0.5057,39.141,48.22,19267,0
PLAN000001262,2001,29,STATE_HOUSE,152305,4.076,110501,103723,71.98,0.7623,0.3945,1,5,42,0,0.7701,31.712,19.2,22651,0
PLAN000001263,2002,26,CITY,104153,-3.408,73003,66121,63.31,0.5101,0.791,1,1,51,0,0.6174,-28.093,9.13,14010,0
PLAN000001264,2002,18,STATE_HOUSE,543270,-1.353,395503,357510,88.58,0.1432,0.7964,1,15,68,1,0.7547,24.625,77.14,17509,0
PLAN000001265,2019,17,CONGRESSIONAL,258552,5.831,196088,160700,59.85,0.6521,0.5526,1,15,57,0,0.0321,14.857,13.14,14390,0
PLAN000001266,2001,40,STATE_HOUSE,683693,6.452,495199,472251,42.56,0.3445,0.7909,1,6,30,1,0.3527,12.998,48.96,19487,0
PLAN000001267,2000,30,STATE_SENATE,865654,5.807,614157,490535,22.88,0.2564,0.4142,1,15,37,0,0.0431,16.348,89.2,15250,0
PLAN000001268,2023,5,SCHOOL,599229,-4.86,473149,385045,40.91,0.2414,0.5259,1,1,59,0,0.6634,12.348,40.73,4990,0
PLAN000001269,2001,42,STATE_SENATE,617497,-7.165,439240,393911,56.51,0.5711,0.3707,1,10,30,0,0.7788,-8.359,71.91,24232,0
PLAN000001270,1996,26,STATE_SENATE,521755,-7.186,409983,379055,50.48,0.1963,0.7834,1,11,9,0,0.177,4.98,86.73,6290,0
PLAN000001271,2024,36,STATE_HOUSE,617041,7.569,454359,427722,62.4,0.7512,0.8276,1,1,34,1,0.1967,-22.351,76.97,16577,0
PLAN000001272,1991,46,STATE_HOUSE,907354,-3.813,639518,535081,15.26,0.0452,0.454,1,18,46,1,0.6562,-10.786,25.7,23299,0
PLAN000001273,2015,8,STATE_SENATE,27054,-4.068,21059,19770,57.65,0.2384,0.0906,1,14,49,0,0.457,39.629,16.62,20386,0
PLAN000001274,2007,60,STATE_HOUSE,411709,-7.775,295242,248318,79.48,0.6199,0.7848,1,6,32,0,0.8008,29.724,93.15,17847,0
PLAN000001275,1998,37,CITY,161448,-5.67,121800,105310,93.64,0.0493,0.4151,1,14,77,1,0.4268,1.825,75.45,23469,0
PLAN000001276,1996,3,CONGRESSIONAL,475429,1.005,340913,308598,52.09,0.2624,0.4583,1,10,36,0,0.4701,-10.55,46.6,3800,0
PLAN000001277,2002,47,STATE_SENATE,880701,1.714,703131,647941,53.75,0.6858,0.7043,1,13,15,0,0.3974,5.836,98.84,9303,0
PLAN000001278,2012,21,STATE_SENATE,152901,-5.753,107689,94174,38.86,0.6431,0.5774,1,13,39,0,0.1723,18.143,88.72,2877,0
PLAN000001279,2023,60,STATE_HOUSE,628933,3.231,511958,486541,44.63,0.0334,0.173,0,5,42,0,0.8661,-33.005,2.51,2347,0
PLAN000001280,2008,37,CONGRESSIONAL,911386,0.152,673407,609653,22.33,0.0653,0.4717,1,9,35,0,0.7835,-22.916,41.41,3509,0
PLAN000001281,1996,16,STATE_HOUSE,426629,-0.464,295936,243558,50.05,0.3264,0.6107,1,5,51,1,0.965,37.173,63.2,14108,1
PLAN000001282,1990,24,SCHOOL,803726,1.355,600655,478266,37.41,0.5566,0.4603,1,6,29,0,0.8121,-14.437,10.11,24076,0
PLAN000001283,2009,46,CITY,907450,-4.925,665061,548610,77.08,0.3477,0.2491,1,7,18,0,0.922,1.255,65.5,14417,0
PLAN000001284,2023,23,STATE_SENATE,500821,6.157,400067,326594,21.22,0.3469,0.243,1,16,8,1,0.382,-1.043,8.99,16988,0
PLAN000001285,2019,42,SCHOOL,905104,-0.022,684534,585801,3.87,0.6647,0.7107,1,4,35,0,0.5632,29.219,8.84,1068,0
PLAN000001286,2020,2,STATE_HOUSE,304702,0.221,235232,183881,80.11,0.5909,0.449,1,1,8,0,0.8271,-28.562,63.48,13993,0
PLAN000001287,1993,39,CONGRESSIONAL,812455,2.145,613179,521415,71.27,0.4965,0.1543,1,3,16,0,0.9102,11.46,78.57,6507,0
PLAN000001288,2018,1,CITY,576845,-0.749,444276,419372,81.01,0.4556,0.1327,1,0,71,0,0.964,-15.226,36.0,6319,0
PLAN000001289,2013,54,SCHOOL,258449,-1.085,205276,173267,36.97,0.144,0.805,1,3,75,1,0.7257,32.438,81.17,17736,0
PLAN000001290,2023,30,SCHOOL,906930,7.275,631005,558644,55.17,0.1315,0.1068,1,7,39,1,0.6963,-8.213,76.39,12349,0
PLAN000001291,1992,14,STATE_HOUSE,478537,-0.327,354746,313209,44.44,0.7731,0.1429,1,0,69,0,0.3106,9.23,25.71,4493,1
PLAN000001292,1996,5,CONGRESSIONAL,164978,1.051,121601,108758,54.87,0.5146,0.5803,1,14,54,1,0.8102,0.326,83.35,3497,0
PLAN000001293,2021,51,CONGRESSIONAL,207852,-1.187,167213,132003,39.69,0.7502,0.0871,1,8,63,0,0.2371,32.194,39.88,23710,0
PLAN000001294,2005,36,STATE_SENATE,579344,-6.642,423736,378286,70.81,0.1529,0.1093,1,10,70,1,0.052,-39.953,10.54,5152,0
PLAN000001295,2015,42,STATE_SENATE,859987,6.164,603294,482387,45.93,0.7475,0.0934,1,12,28,0,0.5313,19.545,80.28,24688,0
PLAN000001296,2005,7,STATE_SENATE,817718,0.98,624521,574523,58.53,0.5204,0.3348,0,5,24,0,0.7325,-13.95,36.59,3424,0
PLAN000001297,2020,6,CITY,808062,5.163,629449,503500,82.3,0.534,0.4274,1,16,78,1,0.271,-11.805,23.75,268,0
PLAN000001298,2006,34,STATE_HOUSE,293583,0.212,219923,192998,39.76,0.1912,0.3371,1,0,22,0,0.2174,0.99,50.86,7836,0
PLAN000001299,2009,32,STATE_HOUSE,45778,-7.489,37305,32931,48.13,0.5328,0.3826,1,13,27,1,0.9315,-26.73,35.07,17851,1
PLAN000001300,2001,27,STATE_HOUSE,356056,-0.868,278549,233277,71.87,0.4871,0.3219,1,6,60,0,0.5369,29.316,15.51,4090,0
PLAN000001301,1993,16,STATE_HOUSE,471755,-7.158,321143,299139,72.63,0.7117,0.2181,1,17,70,0,0.8128,19.336,78.71,666,1
PLAN000001302,2015,55,STATE_HOUSE,933435,-5.757,644117,545549,87.76,0.2414,0.069,1,18,21,0,0.5574,-23.774,78.17,21016,0
PLAN000001303,2003,1,STATE_HOUSE,779417,4.805,560636,489096,6.89,0.0722,0.2364,1,4,5,1,0.3081,29.653,10.39,585,0
PLAN000001304,1992,13,SCHOOL,120164,6.495,93366,78124,76.06,0.5833,0.0854,1,7,61,0,0.3944,7.529,44.5,665,0
PLAN000001305,1997,24,STATE_HOUSE,466156,7.657,359484,326204,69.4,0.3869,0.2024,1,6,24,0,0.7944,-17.369,64.88,2147,0
PLAN000001306,1993,26,STATE_HOUSE,425573,-3.348,336688,264713,39.02,0.5953,0.8031,1,10,45,0,0.4406,-28.073,36.33,22576,0
PLAN000001307,2023,24,CONGRESSIONAL,493920,-4.899,394953,327371,23.51,0.1689,0.1898,0,18,31,1,0.868,-27.839,88.94,1419,0
PLAN000001308,2025,23,CONGRESSIONAL,50716,5.228,36319,31898,48.36,0.5115,0.8066,1,4,59,0,0.4213,34.227,80.79,7101,0
PLAN000001309,2021,49,STATE_HOUSE,922837,5.378,727453,647674,27.55,0.2464,0.8215,1,7,26,0,0.6893,24.943,96.0,15346,0
PLAN000001310,1992,54,CITY,553876,3.935,408299,379502,56.24,0.2522,0.2435,1,2,30,1,0.86,24.954,3.84,21445,0
PLAN000001311,2005,52,STATE_SENATE,186571,1.228,150156,117320,9.09,0.0719,0.7123,0,8,77,0,0.181,-21.805,57.14,14887,0
PLAN000001312,1997,40,CONGRESSIONAL,315853,-1.001,218633,173776,39.41,0.1099,0.7273,1,16,51,0,0.4843,-37.925,65.56,24056,0
PLAN000001313,1995,48,STATE_HOUSE,289049,1.299,229244,202318,38.64,0.15,0.3822,1,20,64,0,0.8264,16.363,23.39,2193,0
PLAN000001314,2000,41,SCHOOL,360171,3.079,264532,229659,1.09,0.2725,0.1301,0,8,28,0,0.4971,33.147,77.01,11810,0
PLAN000001315,2010,15,SCHOOL,46316,6.625,33972,30041,18.76,0.1771,0.311,1,7,6,0,0.4407,-21.138,91.73,19187,0
PLAN000001316,2005,19,STATE_SENATE,514462,7.648,420828,364805,81.26,0.7324,0.8104,1,8,16,1,0.2065,-4.529,60.03,13485,0
PLAN000001317,2001,52,CONGRESSIONAL,616863,0.671,452078,389937,63.63,0.4476,0.5365,1,14,26,0,0.5486,-24.767,38.46,7783,0
PLAN000001318,2002,32,STATE_SENATE,168135,1.909,127603,121080,13.86,0.295,0.3752,1,13,33,0,0.4194,-21.634,47.07,13448,0
PLAN000001319,1993,1,STATE_SENATE,903272,4.863,693900,572737,47.99,0.1518,0.0622,1,16,66,1,0.402,24.403,48.14,9708,0
PLAN000001320,2025,7,CONGRESSIONAL,507065,6.121,389805,323627,54.98,0.3485,0.5189,1,14,61,1,0.4813,-7.209,7.86,14253,1
PLAN000001321,2000,46,JUDICIAL,569254,2.597,404626,340791,58.92,0.6046,0.1628,1,7,66,0,0.8803,20.993,50.26,11852,0
PLAN000001322,2003,37,CITY,214108,-0.403,154696,131627,48.13,0.0717,0.8039,1,20,25,1,0.5726,6.422,96.93,13051,0
PLAN000001323,2003,58,STATE_HOUSE,335734,-7.027,238273,213882,36.53,0.188,0.5886,1,9,33,0,0.1548,-28.206,73.31,22606,0
PLAN000001324,2015,55,JUDICIAL,186880,-6.206,147912,119329,36.24,0.6188,0.0217,1,11,8,0,0.448,16.659,55.12,6497,0
PLAN000001325,2005,13,STATE_HOUSE,595484,5.901,467473,438423,74.29,0.3428,0.336,1,18,33,1,0.7701,39.86,22.2,2289,0
PLAN000001326,2020,49,CONGRESSIONAL,348180,5.348,253613,224099,10.65,0.133,0.3928,1,16,3,0,0.737,-38.99,7.85,956,0
PLAN000001327,2014,52,STATE_HOUSE,550850,-1.172,380269,324879,76.31,0.6206,0.297,1,15,63,0,0.3614,-21.746,83.98,4003,0
PLAN000001328,1992,47,STATE_HOUSE,441279,-7.123,351898,301860,68.0,0.7247,0.1148,1,0,77,0,0.202,-35.776,5.04,19163,1
PLAN000001329,2008,24,STATE_HOUSE,210954,1.925,148711,119494,54.84,0.7879,0.3796,1,11,3,1,0.0731,25.001,24.53,14753,0
PLAN000001330,1993,10,JUDICIAL,597550,3.624,425127,388598,78.57,0.1513,0.4463,1,9,67,0,0.6949,39.766,89.49,24005,0
PLAN000001331,2007,17,STATE_SENATE,865707,-0.879,643883,577263,14.72,0.0995,0.2966,1,6,54,0,0.5962,29.697,82.22,19691,0
PLAN000001332,2016,2,CONGRESSIONAL,465856,-1.634,346373,285061,14.34,0.4909,0.7285,1,19,20,0,0.848,-17.599,55.57,16353,0
PLAN000001333,2014,24,STATE_SENATE,353676,1.568,280101,242004,14.5,0.5532,0.2734,1,12,80,0,0.7961,12.139,54.79,1164,0
PLAN000001334,2000,40,CONGRESSIONAL,631871,0.087,499394,444076,32.5,0.0848,0.5989,0,16,53,0,0.7011,19.088,18.64,2698,0
PLAN000001335,2025,42,STATE_HOUSE,185274,-1.867,143867,121511,92.52,0.5574,0.2438,1,3,45,0,0.1661,-10.265,82.49,24082,0
PLAN000001336,2015,22,STATE_HOUSE,134590,-2.619,99095,89769,38.23,0.0543,0.163,1,19,34,0,0.6219,-25.935,43.65,19614,1
PLAN000001337,2009,39,STATE_HOUSE,391468,2.363,289157,232114,91.92,0.0325,0.827,1,6,29,1,0.6463,23.67,90.71,1935,0
PLAN000001338,2016,35,STATE_SENATE,265708,5.709,199696,168856,49.71,0.4,0.1295,1,1,48,0,0.48,33.331,34.46,8795,0
PLAN000001339,2017,23,CITY,56742,-6.824,41301,36607,81.07,0.7376,0.5868,1,1,28,0,0.6828,19.54,36.98,8965,1
PLAN000001340,1999,14,SCHOOL,282818,-6.889,201014,169499,66.15,0.382,0.4826,1,11,27,0,0.2229,36.653,38.98,13708,0
PLAN000001341,2025,1,SCHOOL,895709,2.733,637638,572282,84.03,0.6259,0.0319,1,2,23,0,0.052,37.387,37.6,13192,0
PLAN000001342,2023,33,STATE_SENATE,212896,6.388,146317,118009,72.12,0.2728,0.3977,1,2,32,0,0.6898,-28.909,47.13,13475,0
PLAN000001343,1995,15,STATE_SENATE,213611,-6.93,158518,142184,13.67,0.7775,0.5643,1,13,71,0,0.3578,0.714,83.71,7076,1
PLAN000001344,2024,53,STATE_HOUSE,273666,-0.011,211253,202204,15.97,0.0593,0.6013,1,1,16,0,0.4208,37.756,14.66,1084,0
PLAN000001345,1998,25,SCHOOL,668987,0.115,519870,469182,14.42,0.683,0.1688,0,17,69,0,0.4507,22.628,64.96,10712,1
PLAN000001346,2005,22,CITY,193447,-2.79,136205,121093,8.9,0.4976,0.3863,1,0,54,0,0.5233,-24.903,1.27,22163,0
PLAN000001347,1999,2,SCHOOL,873800,-0.34,698187,593553,73.13,0.153,0.4471,1,6,52,1,0.1755,-2.864,61.18,803,0
PLAN000001348,1998,33,SCHOOL,263207,7.764,181853,144795,15.72,0.359,0.4947,1,20,37,0,0.1799,-3.634,53.91,2880,0
PLAN000001349,2002,42,SCHOOL,719177,-1.64,501635,408223,87.13,0.3957,0.8071,1,9,56,0,0.1824,19.145,68.23,3593,0
